UWI,Well Type (Simple),Field,Pool,Formation,Status (Detailed),Status (Simple),Total Depth (TD),Total Vertical Depth (TVD),Surface Longitude,Surface Latitude,Estimated LLR (Well)
100131607402W500,Gas,Marten Hills,Wabiskaw J,Wabamun,Suspended,Suspended,619,613.99,-114.253848,55.415028,0
100131607402W502,Unspecified,Marten Hills,Unspecified,Wabamun,Drilled And Cased,Standing Cased,619,613.99,-114.253848,55.415028,0
100131607402W503,Gas,Marten Hills,Grand Rapids X,Wabamun,Suspended,Suspended,619,613.99,-114.253848,55.415028,0
100121907402W500,Gas,Marten Hills,Wabiskaw N,Mannville,Flowing,Active,670,670,-114.303257,55.426868,0
100061307403W502,Gas,Marten Hills,Commingled Pool 018,Mannville,Test Completed,Testing,670,670,-114.324156,55.408075,0
100061307403W503,Gas,Marten Hills,Commingled Pool 018,Mannville,Suspended,Suspended,670,670,-114.324156,55.408075,0
100112707403W500,Gas,Marten Hills,Colony Undefined,Mannville,Suspended,Suspended,679,679,-114.37544,55.440175,0
100153307403W500,Gas,Marten Hills,Grand Rapids J4J,Mannville,Suspended,Suspended,696,696,-114.397749,55.460546,0
100033007522W400,Gas,Marten Hills,Commingled Pool 003,Wabamun,Suspended,Suspended,628,628,-113.414451,55.522184,0
100033007522W402,Unspecified,Marten Hills,Unspecified,Wabamun,Drilled And Cased,Standing Cased,628,628,-113.414451,55.522184,0
100033007522W403,Gas,Marten Hills,Commingled Pool 031,Wabamun,Suspended,Suspended,628,628,-113.414451,55.522184,0
100153407522W400,Gas,Marten Hills,Grand Rapids Z4Z,Nisku,Suspended,Suspended,622,622,-113.327993,55.545264,0
100053507522W400,Gas,Marten Hills,Grand Rapids Z4Z,Mannville,Suspended,Suspended,624,624,-113.313077,55.540655,0
100020507523W400,Gas,Marten Hills,Commingled Pool 023,Mannville,Suspended,Suspended,632,632,-113.532451,55.463822,0
100020507523W402,Gas,Marten Hills,Grand Rapids Undefined,Mannville,Suspended,Suspended,632,632,-113.532451,55.463822,0
100040507523W400,Gas,Marten Hills,Commingled Pool 001,McMurray,Flowing,Active,619,619,-113.545151,55.464112,5.5
100040507523W402,Gas,Marten Hills,Commingled Pool 008,McMurray,Suspended,Suspended,619,619,-113.545151,55.464112,0
100050607523W400,Gas,Marten Hills,Commingled Pool 001,McMurray,Pumping,Active,601,601,-113.570529,55.465896,6.65
100050707523W400,Gas,Marten Hills,Commingled Pool 001,Wabamun,Suspended,Suspended,610,610,-113.571452,55.481534,0
100070807523W400,Gas,Marten Hills,Grand Rapids Undefined,Grand Rapids,Suspended,Suspended,587,481.24,-113.540218,55.479664,0
102030907523W400,Unspecified,Marten Hills,Unspecified,Grand Rapids,Drilled And Cased,Standing Cased,476,476,-113.516313,55.478539,0
100141407523W400,Gas,Marten Hills,Commingled Pool 001,Mannville,Suspended,Suspended,603,603,-113.462212,55.501667,0
100111807523W400,Gas,Marten Hills,Commingled Pool 001,Unspecified,Suspended,Suspended,621.5,621.5,-113.569729,55.497642,0
100111807523W402,Gas,Marten Hills,Sparky Undefined,Unspecified,Suspended,Suspended,621.5,621.5,-113.569729,55.497642,0
100041907523W400,Gas,Marten Hills,Commingled Pool 001,Wabamun,Pumping,Active,610,610,-113.5705,55.50775,4.59
100112507523W400,Gas,Marten Hills,Commingled Pool 031,Wabamun,Suspended,Suspended,618,618,-113.438349,55.526333,0
100112507523W402,Gas,Marten Hills,Clearwater K2K,Wabamun,Suspended,Suspended,618,618,-113.438349,55.526333,0
100032607523W400,Gas,Marten Hills,Commingled Pool 003,Wabamun,Suspended,Suspended,610,610,-113.464604,55.520935,0
100032607523W402,Gas,Marten Hills,Commingled Pool 031,Wabamun,Suspended,Suspended,610,610,-113.464604,55.520935,0
100082707523W400,Gas,Marten Hills,Clearwater K2K,Wabamun,Suspended,Suspended,626,626,-113.478227,55.524986,0
100082707523W402,Gas,Marten Hills,Commingled Pool 031,Wabamun,Suspended,Suspended,626,626,-113.478227,55.524986,0
100082807523W400,Gas,Marten Hills,Commingled Pool 001,Mannville,Suspended,Suspended,639,639,-113.50437,55.523446,0
100082807523W402,Gas,Marten Hills,Clearwater Undefined,Mannville,Suspended,Suspended,639,639,-113.50437,55.523446,0
100093207523W403,Gas,Marten Hills,Grand Rapids S6S,Wabamun,Suspended,Suspended,665,665,-113.525714,55.542413,0
100063507523W400,Gas,Marten Hills,Clearwater K2K,Wabamun,Suspended,Suspended,618,618,-113.460588,55.540466,0
100063507523W402,Gas,Marten Hills,Commingled Pool 031,Wabamun,Suspended,Suspended,618,618,-113.460588,55.540466,0
100070107524W402,Disposal - Water,Marten Hills,Wabamun Undefined,Wabamun,Suspended,Suspended,626.5,626.5,-113.583734,55.465155,0
100070207524W400,Gas,Marten Hills,Commingled Pool 001,Unspecified,Flowing,Active,623.3,623.3,-113.612191,55.466152,0.18
100070307524W400,Gas,Marten Hills,Commingled Pool 001,McMurray,Pumping,Active,645,645,-113.639134,55.466332,4.68
102070307524W400,Unspecified,Marten Hills,Unspecified,McMurray,Drilled And Cased,Standing Cased,647.5,647.5,-113.639252,55.466205,0
100060407524W402,Gas,Marten Hills,Commingled Pool 026,Unspecified,Suspended,Suspended,640.4,640.4,-113.670461,55.466447,0
100110707524W400,Gas,Marten Hills,Clearwater Undefined,Wabiskaw,Suspended,Suspended,655,655,-113.722934,55.484095,0
100100807524W400,Gas,Marten Hills,Commingled Pool 001,Wabiskaw,Suspended,Suspended,673,673,-113.691786,55.484035,0
100100807524W402,Gas,Marten Hills,Commingled Pool 026,Wabiskaw,Suspended,Suspended,673,673,-113.691786,55.484035,0
100120807524W400,Unspecified,Marten Hills,Unspecified,Wabiskaw,Drilled And Cased,Standing Cased,674,674,-113.704996,55.483819,0
100120807524W402,Gas,Marten Hills,Commingled Pool 026,Wabiskaw,Suspended,Suspended,674,674,-113.704996,55.483819,0
100101007524W400,Gas,Marten Hills,Commingled Pool 001,Wabiskaw,Pumping,Active,630,630,-113.639035,55.484259,4.68
100061107524W400,Gas,Marten Hills,Commingled Pool 001,Unspecified,Pumping,Active,637,637,-113.615751,55.48251,5.04
100121207524W400,Gas,Marten Hills,Commingled Pool 001,Wabiskaw,Flowing,Active,627,627,-113.601994,55.484425,5.34
100101307524W400,Gas,Marten Hills,Commingled Pool 001,Wabiskaw,Suspended,Suspended,607,607,-113.588598,55.497252,0
100091407524W400,Gas,Marten Hills,Commingled Pool 001,Wabiskaw,Suspended,Suspended,613,613,-113.607863,55.49756,0
100121507524W400,Gas,Marten Hills,Commingled Pool 001,Wabiskaw,Flowing,Active,626,626,-113.65113,55.497446,1.28
100091607524W400,Gas,Marten Hills,Commingled Pool 001,Wabiskaw,Flowing,Active,635.9,635.9,-113.655836,55.497432,4.79
100121607524W400,Gas,Marten Hills,Clearwater Sand Undefined,Mannville,Testing,Testing,641,641,-113.679862,55.497295,0
100121607524W402,Gas,Marten Hills,Grand Rapids I4I,Mannville,Suspended,Suspended,641,641,-113.679862,55.497295,0
100041907524W400,Gas,Marten Hills,Commingled Pool 026,Mannville,Suspended,Suspended,656,656,-113.726811,55.506563,0
